07/30/2024-08:13:49.070650  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:54.085404  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:59.086546  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:04.087181  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:09.102690  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:14.102881  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:19.118143  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:24.134675  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:29.150403  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:34.166073  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:39.181285  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:44.187370  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:49.196917  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:54.211813  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:14:59.212360  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:04.228199  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:09.244303  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:14.259231  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:19.275350  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:24.275832  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:29.291501  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:34.307413  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:39.323069  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:44.338888  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:49.354667  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:54.354605  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:15:59.354706  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:04.370482  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:09.370380  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:14.370651  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:19.370379  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:24.386421  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:29.401900  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:34.402322  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:39.402520  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:44.417425  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:49.433632  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:54.449540  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:16:59.465394  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:04.465005  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:09.465451  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:14.465668  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:19.465698  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:24.481768  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:29.481781  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:34.497140  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:39.513012  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:44.528534  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:49.528988  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:54.544693  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:17:59.560410  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:04.575346  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:09.591650  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:14.591832  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:19.592098  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:24.607645  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:29.607976  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:18:34.623093  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
